page,slug,Image,Advice Text,Life_Area,Action_Type,Difficulty,Topic_Theme,Smart_Category
189,investing-do-nothing,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/investing-do-nothing.png,The hardest part of investing... is doing nothing.,Money & Finance,Mindset Shift,Medium,"Theme: know, need",Money & Finance
194,invite-to-learn,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/invite-to-learn.png,Don't wait for an invite to learn. Be curious.,Learning & Growth,Avoid/Stop,Easy,Learning & Skills,Learning & Growth
51,jacket,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/jacket.png,"When in doubt, bring a jacket.",Personal Development,Conditional Wisdom,Easy,"Theme: room, use",General Wisdom
62,job-hunt-thank-you,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/job-hunt-thank-you.png,Always take the time to write a thoughtful thank you note after an interview.,Work & Career,Maintain/Remember,Easy,"Theme: room, use",Work & Career
240,job-interview-sketchy,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/job-interview-sketchy.png,"If a job feels sketchy in the interview, it won't get better.",Work & Career,Conditional Wisdom,Medium,Mindset & Emotions,Work & Career
91,just-show-up,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/just-show-up.png,Don't offer “Let me know if you need anything.”,Personal Development,Avoid/Stop,Easy,"Theme: know, need",Things to Avoid
125,just-start,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/just-start.png,"If you keep waiting for the ‘perfect time,' you'll wait forever. Just start.",Personal Development,Conditional Wisdom,Easy,Financial Wisdom,General Wisdom
49,kareoke,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/kareoke.png,Always have a go-to karaoke song.,Personal Development,Maintain/Remember,Easy,Financial Wisdom,General Wisdom
9,keep-in-touch,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/keep-in-touch.png,"Keep in touch with your friends, they want to hear from you.",Relationships & Family,Maintain/Remember,Medium,Financial Wisdom,Relationships & Family
185,know-care,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/know-care.png,Nobody cares how much you know until they know how much you care.,Personal Development,Mindset Shift,Medium,"Theme: know, need",General Wisdom
25,last-cookie,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/last-cookie.png,Never eat the last cookie.,Health & Wellness,Avoid/Stop,Easy,Mindset & Emotions,Health & Wellness
31,last-piece,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/last-piece.png,Let others know before you take the last piece.,Personal Development,Mindset Shift,Easy,"Theme: know, need",General Wisdom
235,late-reply,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/late-reply.png,A late reply is better than no reply.,Personal Development,Mindset Shift,Easy,Mindset & Emotions,General Wisdom
157,laugh-happiness,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/laugh-happiness.png,Don't make fun of someone's laugh. That's their happiness.,Personal Development,Avoid/Stop,Medium,Learning & Skills,Things to Avoid
144,laugh-meme,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/laugh-meme.png,"If someone shows you a meme, laugh, even if you've seen it before.",Personal Development,Conditional Wisdom,Medium,"Theme: know, need",General Wisdom
212,laundry-done,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/laundry-done.png,Laundry will never truly be ‘done.',Home & Organization,Mindset Shift,Easy,Mindset & Emotions,Home & Organization
114,lawyer-mechanic-tailor,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/lawyer-mechanic-tailor.png,"Seek out a good lawyer, mechanic, and tailor.",Personal Development,Mindset Shift,Easy,Financial Wisdom,General Wisdom
164,lay-out-night-before,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/lay-out-night-before.png,Lay out what you'll need the night before.,Personal Development,Mindset Shift,Easy,"Theme: know, need",General Wisdom
253,learn-card-trick,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/learn-card-trick.png,Learn one magic trick or bar trick.,Learning & Growth,Learn/Develop,Easy,Learning & Skills,Learning & Growth
80,learn-language-basics,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/learn-language-basics.png,"When traveling abroad, learn a few basic phrases in the local language.",Travel & Adventure,Conditional Wisdom,Requires Effort,Mindset & Emotions,Travel & Adventure
53,leave-better,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/leave-better.png,Leave places better than you found them.,Personal Development,Mindset Shift,Easy,"Theme: room, use",General Wisdom
5,leave-in-cart,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/leave-in-cart.png,Leave it in your online cart overnight before purchasing.,Personal Development,Mindset Shift,Medium,"Theme: room, use",General Wisdom
265,lemonade-kids,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/lemonade-kids.png,Buy lemonade from kids–invest in their ambition.,Money & Finance,Acquire/Invest,Easy,Mindset & Emotions,Money & Finance
270,let-merge,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/let-merge.png,Let someone merge in traffic–kindness costs nothing.,Money & Finance,Mindset Shift,Medium,"Theme: know, need",Money & Finance
202,lifestyle-creep,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/lifestyle-creep.png,You can not sustain lifestyle creep exceeding your income.,Personal Development,Avoid/Stop,Medium,Learning & Skills,Things to Avoid
47,lights-off,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/lights-off.png,Turn off the lights when you leave the room.,Home & Organization,Mindset Shift,Easy,"Theme: room, use",Home & Organization
237,limit-access,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/limit-access.png,"If someone is draining you, limit access, not just interaction.",Personal Development,Avoid/Stop,Easy,Learning & Skills,Things to Avoid
52,listen-talk,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/listen-talk.png,"Listen more than you talk, but don't let others silence you.",Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
239,loan-losing,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/loan-losing.png,Never loan money you can't afford to lose.,Money & Finance,Avoid/Stop,Easy,Financial Wisdom,Money & Finance
294,local-theatre,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/local-theatre.png,Support your local high school and community theatre.,Health & Wellness,Mindset Shift,Medium,Learning & Skills,Health & Wellness
133,look-tired,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/look-tired.png,Never tell someone they look tired.,Personal Development,Avoid/Stop,Easy,Mindset & Emotions,Things to Avoid
10,make-bed,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/make-bed.png,Make your bed every morning.,Home & Organization,Mindset Shift,Easy,Financial Wisdom,Home & Organization
93,match-enthusiasm,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/match-enthusiasm.png,"When someone shares good news, match their enthusiasm.",Personal Development,Conditional Wisdom,Medium,Mindset & Emotions,General Wisdom
98,meal-fridge,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/meal-fridge.png,You can make a meal out of whatever is in the fridge.,Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
180,measurable-goals,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/measureable-goals.png,Set measurable goals.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
27,measure-by-others,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/measure-by-others.png,Don't let your happiness depend on what others have.,Personal Development,Avoid/Stop,Medium,Learning & Skills,Things to Avoid
208,medicine,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/medicine.png,Keep medicine well-stocked–your future sick self will thank you.,Money & Finance,Maintain/Remember,Medium,Financial Wisdom,Money & Finance
84,meet-heroes,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/meet-heroes.png,"If you get to meet one of your heroes, keep it short and meaningful.",Personal Development,Conditional Wisdom,Medium,Financial Wisdom,General Wisdom
48,menu-new,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/menu-new.png,"If you can't decide between two menu items, pick the one you've never tried before.",Personal Development,Conditional Wisdom,Medium,Mindset & Emotions,General Wisdom
153,microwave-fish,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/microwave-fish.png,The quickest way to annoy your coworkers is to microwave fish.,Work & Career,Mindset Shift,Easy,Learning & Skills,Work & Career
249,miss-child-birthday,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/miss-child-birthday.png,There's no acceptable excuse for missing your child's birthday.,Relationships & Family,Mindset Shift,Medium,Mindset & Emotions,Relationships & Family
224,money-problem,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/money-problem.png,A problem you can throw money at isn't really a problem–it's an expense.,Money & Finance,Mindset Shift,Medium,"Theme: know, need",Money & Finance
147,more-ice,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/moreice.png,"When bringing drinks to a party, always bring more ice than you think you'll need.",Social Situations,Conditional Wisdom,Easy,Financial Wisdom,👥 Social Situations
7,more-walks,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/more-walks.png,Take a lot more walks.,Personal Development,Experience/Do,Easy,"Theme: know, need",General Wisdom
159,most-questions-liked,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/most-questions-liked.png,The person who asks the most questions in the conversation walks away the most liked.,Personal Development,Mindset Shift,Medium,Mindset & Emotions,General Wisdom
246,museum-alone,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/museum-alone.png,Go to a museum alone and take your time.,Personal Development,Experience/Do,Easy,Learning & Skills,General Wisdom
213,nail-polish-crack,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/nail-polish-crack.png,Use clear nail polish to reduce a windshield crack from spreading.,Learning & Growth,Mindset Shift,Medium,"Theme: room, use",Learning & Growth
190,negative-energy,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/negative-energy.png,Avoid negative energy. It spreads like a virus.,Learning & Growth,Avoid/Stop,Easy,"Theme: room, use",Learning & Growth
141,new-information,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/new-information.png,It's okay to change your mind when you get new information.,Personal Development,Mindset Shift,Medium,"Theme: know, need",General Wisdom
295,news-slant,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/news-slant.png,"Remember,every news story comes with a perspective, and usually a profit motive.",Personal Development,Maintain/Remember,Medium,Mindset & Emotions,General Wisdom
113,nice-dishes,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/nice-dishes.png,You need not a special occasion to use the nice dishes.,Personal Development,Avoid/Stop,Medium,"Theme: room, use",Things to Avoid
234,no-actual-race,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/no-actual-race.png,"When you feel you need to race to catch up, try to remember this is not actually a race.",Personal Development,Avoid/Stop,Medium,"Theme: know, need",Things to Avoid
206,no-decision,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/no-decision.png,Not making a decision is a decision–usually a bad one.,Personal Development,Avoid/Stop,Medium,"Theme: know, need",Things to Avoid
43,not-creative,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/not-creative.png,Never let anyone tell you they are not creative. Never tell yourself you are not creative.,Health & Wellness,Avoid/Stop,Medium,Mindset & Emotions,Health & Wellness
85,not-every-storm,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/not-every-storm.png,Not every storm is yours to weather.,Health & Wellness,Avoid/Stop,Easy,Financial Wisdom,Health & Wellness
219,not-judging,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/not-judging.png,Most people are too distracted to judge you–do your thing.,Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
109,not-your-people,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/not-your-people.png,"If someone needs to be convinced to like you, they're not your people.",Personal Development,Avoid/Stop,Medium,"Theme: know, need",Things to Avoid
18,notebook-ideas,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/notebook-ideas.png,"Keep a notebook or notes app for capturing ideas, thoughts and quotes.",Learning & Growth,Maintain/Remember,Medium,"Theme: room, use",Learning & Growth
22,one-instrument,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/one_instrument.png,Keep proficient on at least one musical instrument.,Personal Development,Maintain/Remember,Medium,Mindset & Emotions,General Wisdom
251,one-poem,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/one-poem.png,"Memorize one poem, quote, and speech that move you.",Personal Development,Mindset Shift,Medium,"Theme: know, need",General Wisdom
158,one-up-story,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/one-up-story.png,"Don't try to one-up a friend's story. Let them enjoy their moment
in the spotlight.",Relationships & Family,Avoid/Stop,Medium,"Theme: know, need",Relationships & Family
35,order-of-operations,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/order-of-operations.png,Order of operations runs left to right: 8/2(2+2) is 16 not 1.,Personal Development,Avoid/Stop,Medium,Learning & Skills,Things to Avoid
210,org-system,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/org-system.png,"If you can't find things in under a minute, you don't have a working organization system.",Work & Career,Conditional Wisdom,Medium,Financial Wisdom,Work & Career
220,over-explaining,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/over-explaining.png,Over-explaining invites negotiation.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
223,overwhelmed-next-step,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/overwhelmed-next-step.png,"When feeling overwhelmed, ask: What is the next actionable step?",Personal Development,Conditional Wisdom,Medium,Financial Wisdom,General Wisdom
286,own-mistake,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/own-mistake.png,"When you make a mistake, own it and apologize sincerely.",Personal Development,Conditional Wisdom,Medium,Learning & Skills,General Wisdom
241,own-plunger,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/own-plunger.png,Own a plunger before you need one.,Personal Development,Acquire/Invest,Easy,"Theme: know, need",General Wisdom
115,own-up-to-it,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/own-up-to-it.png,"If you break something in a store, own up to it.",Personal Development,Conditional Wisdom,Easy,Learning & Skills,General Wisdom
132,pack-swimsuit,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/pack-swimsuit.png,Pack a swimsuit. Even if you don't think you'll need it.,Travel & Adventure,Mindset Shift,Medium,"Theme: know, need",Travel & Adventure
68,packing-half,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/packing-half.png,"When packing, bring half the clothes and twice the money.",Money & Finance,Conditional Wisdom,Medium,Financial Wisdom,Money & Finance
37,pamplemousse,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/pamplemoose.png,Pamplemousse is the definitive flavor of LaCroix.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
82,parallel-park,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/parallel-park.png,Do not convince yourself that you cannot parallel park.,Personal Development,Avoid/Stop,Medium,Learning & Skills,Things to Avoid
179,path-your-own,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/path-your-own.png,Your path is your own. It's hard because it's yours and hasn't been blazed by others.,Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
40,pay-yourself-first,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/pay-yourself-first.png,Pay yourself first.,Personal Development,Mindset Shift,Easy,Financial Wisdom,General Wisdom
60,perfect-loved,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/perfect-loved.png,You don't have to be perfect to be loved.,Relationships & Family,Mindset Shift,Easy,Learning & Skills,Relationships & Family
28,personal-best,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/personal-best.png,Don't judge yourself by comparing to others–focus on beating your own personal best.,Health & Wellness,Avoid/Stop,Medium,Financial Wisdom,Health & Wellness
195,personal-brand,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/personalboard.png,Assemble yourself a personal board of advisors–trusted folks you can lean on for life's big calls.,Personal Development,Mindset Shift,Medium,"Theme: room, use",General Wisdom
59,pet-attention,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/pet-attention.png,"When a pet wants attention, give it. You'll miss those moments later.",Personal Development,Conditional Wisdom,Medium,Financial Wisdom,General Wisdom
135,pet-trust,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/pet-trust.png,"If a pet trusts someone, that tells you something. If they don't, that tells you something too.",Personal Development,Conditional Wisdom,Medium,"Theme: know, need",General Wisdom
88,phones-dinner,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/phones-dinner.png,No phones at the dinner table.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
123,plan-for-traffic,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/plan-for-traffic.png,"Assume traffic is the norm, not the exception.",Personal Development,Avoid/Stop,Easy,Learning & Skills,Things to Avoid
142,playlist,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/playlist.png,A curated playlist is an intimate invitation into someone's world.,Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
187,predict-own-behavior,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/predict-own-behavior.png,People are remarkably bad at predicting their own behavior.,Personal Development,Mindset Shift,Medium,"Theme: know, need",General Wisdom
175,problem-focus,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/problem-focus.png,Your most valuable work each day is choosing the right problem to focus on.,Work & Career,Mindset Shift,Medium,"Theme: know, need",Work & Career
94,quarter-tank,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/quarter-tank.png,Don't let the gas gauge drop below a quarter tank.,Personal Development,Avoid/Stop,Medium,"Theme: know, need",Things to Avoid
56,read-the-book,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/read-the-book.png,It's a book club. Read the book.,Learning & Growth,Mindset Shift,Easy,"Theme: room, use",Learning & Growth
119,read-twice-sign,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/read-twice-sign.png,"Before signing anything, read it through twice.",Learning & Growth,Mindset/Attitude,Easy,Financial Wisdom,Learning & Growth
215,receipt-big-purchase,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/receipt-big-purchase.png,Snap a photo of receipts for big purchases.,Personal Development,Mindset Shift,Easy,"Theme: room, use",General Wisdom
117,rehearse-voicemail,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/rehearse-voicemail.png,"If you intend to leave a voicemail, rehearse it aloud to avoid sounding awkward.",Personal Development,Conditional Wisdom,Medium,"Theme: room, use",General Wisdom
245,remember-birthdays,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/remember-birthdays.png,Be known for remembering people’s birthdays.,Personal Development,Mindset/Attitude,Easy,Learning & Skills,Mindset & Attitude
266,rent-car-splurge,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/rent-car-splurge.png,"When renting cars, splurge on models you'd love to try but never plan to own.",Relationships & Family,Conditional Wisdom,Medium,"Theme: know, need",Relationships & Family
216,repay-once,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/repay-once.png,"Offer to pay back once, if they decline, don’t insist. Sincerely say ‘thank you’.",Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
143,restart-router,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/restart-router.png,"If the Wi-Fi isn't working, try restarting the router before complaining.",Work & Career,Conditional Wisdom,Medium,"Theme: know, need",Work & Career
264,return-promptly,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/return-promptly.png,Return anything you borrow–and do so promptly.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
34,run-late,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/run_late.png,Nobody's happy when you run late.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
203,running-toilet,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/runningtoilet.png,Learn basic plumbing fixes. Know how to stop a running toilet.,Learning & Growth,Learn/Develop,Requires Effort,"Theme: know, need",Learning & Growth
138,sale-dont-need,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/sale-dont-need.png,Just because something is on sale doesn’t mean you need it.,Personal Development,Mindset Shift,Easy,"Theme: know, need",General Wisdom
29,sand-castles,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/sand-castles.png,Build sand castles on the beach.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
293,sarcasm-lands,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/sarcasm-lands.png,"Sarcasm seldom lands the
way you
think it
will.",Personal Development,Mindset Shift,Easy,Mindset & Emotions,General Wisdom
171,saving-today,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/savingtoday.png,By saving today you are giving yourself options tomorrow.,Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
262,say-hello-first,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/say-hello-first.png,Be the first to say hello–it sets the tone.,Personal Development,Mindset/Attitude,Easy,Financial Wisdom,Mindset & Attitude
13,say-no-boundaries,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/say-no-boundaries.png,"It is okay to say “no”, politely but firmly. Boundaries are important.",Personal Development,Mindset Shift,Medium,Mindset & Emotions,General Wisdom
66,say-thier-name,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/say-their-name.png,Say their name back to them–it helps you remember and makes them feel seen.,Personal Development,Communicate,Medium,Learning & Skills,Communication
260,scent-feel-put-together,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/scent-feel-put-together.png,Wear a scent that makes you feel put together.,Personal Development,Mindset Shift,Easy,Financial Wisdom,General Wisdom
21,self-compassion,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/self-compassion.png,"Be kind to yourself, self-compassion is a strength not a weakness.",Personal Development,Avoid/Stop,Medium,Learning & Skills,Things to Avoid
284,sew-button,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/sew-button.png,Learn to sew a button and fix a hem.,Learning & Growth,Learn/Develop,Easy,Learning & Skills,Learning & Growth
103,shopping-carts,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/shopping-carts.png,Return your shopping cart—it’s a silent test of character.,Personal Development,Mindset Shift,Medium,Learning & Skills,General Wisdom
247,signature–app,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/signatureapp.png,Learn a signature appetizer or dessert to bring to potlucks.,Learning & Growth,Learn/Develop,Requires Effort,Learning & Skills,Learning & Growth
89,silly-dreams,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/silly-dreams.png,"Write down your dreams, even the silly ones. They might not be so silly later.",Personal Development,Avoid/Stop,Medium,Financial Wisdom,Things to Avoid
181,small-wins,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/small-wins.png,Celebrate the small wins.,Personal Development,Mindset Shift,Easy,Financial Wisdom,General Wisdom
288,smile-brighten-day,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/smile-brighten-day.png,A smile can brighten someone's day.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
292,smoking-kills,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/smoking-kills.png,Smoking doesn’t make a statement anymore—it just shortens the story.,Personal Development,Mindset Shift,Easy,Mindset & Emotions,General Wisdom
63,spell-check,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/spell-check.png,Check your spelling before hitting send.,Personal Development,Mindset Shift,Easy,"Theme: room, use",General Wisdom
163,split-the-bill,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/split-the-bill.png,"When your group is struggling to split the bill, just round up and move on.",Personal Development,Conditional Wisdom,Easy,"Theme: know, need",General Wisdom
278,spontaneity–credit–cards,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/spontaneitycreditcards.png,Spontaneity is so much fun until the credit card bills come in.,Money & Finance,Mindset Shift,Medium,"Theme: room, use",Money & Finance
74,stand-for-parents,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/stand-for-parents.png,Stand when someone's parents enter the room.,Relationships & Family,Mindset Shift,Easy,"Theme: room, use",Relationships & Family
250,stargazing,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/stargazing.png,Go stargazing in a place with no city lights.,Personal Development,Experience/Do,Easy,Learning & Skills,General Wisdom
15,stay-multi-lingual,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/stay-multi-lingual.png,Stay multi-lingual.,Personal Development,Mindset/Attitude,Easy,Learning & Skills,Mindset & Attitude
11,stick-recipe,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/stick-recipe.png,"When cooking, always stick to the recipe the first time.",Health & Wellness,Conditional Wisdom,Easy,Financial Wisdom,Health & Wellness
79,street-performer,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/street-performer.png,"If you enjoy a street performer's work, tip them.",Work & Career,Conditional Wisdom,Easy,Financial Wisdom,Work & Career
83,stretching,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/stretching.png,No one regrets stretching more.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
90,strip-bed,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/strip-bed.png,"When staying at someone's house as a guest, strip the bed before you leave.",Home & Organization,Conditional Wisdom,Medium,"Theme: room, use",Home & Organization
244,sunrise,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/sunrise.png,Watch the sunrise once a year just to remind yourself how big the world is.,Personal Development,Mindset Shift,Easy,"Theme: room, use",General Wisdom
50,sunscreen,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/sunscreen.png,Sunscreen is cheaper than regret.,Personal Development,Mindset Shift,Easy,Learning & Skills,General Wisdom
276,surround-people-fight,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/surround-people-fight.png,Surround yourself with people who will fight for you in rooms that you're not in.,Home & Organization,Avoid/Stop,Medium,Learning & Skills,Home & Organization
283,take-stairs,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/take-stairs.png,Take the stairs when you can–small choices add up.,Personal Development,Experience/Do,Medium,Financial Wisdom,General Wisdom
81,take-the-photo,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/take-the-photo.png,"When in doubt, take the photo.",Personal Development,Conditional Wisdom,Easy,"Theme: room, use",General Wisdom
129,talking-loudest,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/talking-loudest.png,The person talking the loudest is usually the least prepared.,Personal Development,Mindset Shift,Medium,Mindset & Emotions,General Wisdom
263,teach-class,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/teach-class.png,Teach a class on a subject you know well.,Personal Development,Mindset Shift,Easy,"Theme: know, need",General Wisdom
198,tell-matter,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/tell-matter.png,Tell the people who matter to you that they matter.,Personal Development,Communicate,Medium,Mindset & Emotions,Communication
218,text-parents-back,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/text-parents-back.png,Text your parents back,Relationships & Family,Mindset Shift,Easy,Learning & Skills,Relationships & Family
99,thank-you-service,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/thank-you-service.png,"Say thank you to bus drivers, janitors, and those in service.",Personal Development,Communicate,Medium,Learning & Skills,Communication
268,thank-yous-promptly,AdviceDB%20208a0765760b80ff8a55ed3dd1a76fcc/thank-yous-promptly.png,Write thank-you notes before they feel overdue.,Personal Development,Mindset Shift,Easy,"Theme: room, use",General Wisdom
